77878 KRAIG BENTON 4005 2012 8.30
77930 MONTY ZAMORA 4008 2015 0.50
77908 BERTRAM PECK 4005 2009 7.00
88999 RHETT NELSON 4006 2020 2.80
77966 KRAIG PORTER 4008 2006 3.10
89053 SCOTTY WHEELER 4009 2011 8.70
77912 ELI CARTER 4008 2015 7.40
77921 RUDOLF TURNER 4009 2019 3.80
88992 TRACEY SWEENEY 4008 2016 9.60
77906 DORSEY KING 4006 2018 2.00
77926 KOREY CUNNINGHAM 4008 2015 4.50
89044 HERBERT HULL 4009 2016 8.00
77888 PORFIRIO REYNOLDS 4005 2006 0.60
77904 GINO GRIMES 4007 2020 6.10
77889 MILLARD GRANT 4007 2012 3.70
89023 DELBERT CAMERON 4008 2019 9.20
89028 SHANNON PRESTON 4009 2017 0.60
89073 WILBURN DODSON 4005 2016 0.00
89047 HIRAM WILLIAM 4005 2014 1.60
89034 ERWIN ROBINSON 4006 2014 7.60
89041 MALCOM SAUNDERS 4008 2014 0.30
77967 FLORENTINO GOLDEN 4008 2005 0.70
77974 DILLON ROWLAND 4009 2010 9.90
77940 OLEN BALDWIN 4005 2011 4.10
89007 HUNTER STRICKLAND 4007 2007 9.90
89017 DEANGELO GUY 4005 2012 1.80
77916 LYNN HAHN 4008 2005 0.10
89011 VALENTIN ALSTON 4008 2010 6.70
77931 SILAS LEE 4006 2009 2.90
89065 JULIO TORRES 4008 2009 1.50
89001 DICK PUGH 4006 2008 2.50
77929 HOYT MCDOWELL 4007 2014 7.60
77897 THADDEUS CAMPOS 4005 2014 1.40
77954 ADALBERTO SCHROEDER 4008 2008 7.00
89010 GRADY MEYER 4006 2015 7.00
77939 SHERWOOD BRYAN 4008 2008 1.00
77894 ART BLACKWELL 4007 2020 0.20
89069 ARMANDO SCHULTZ 4005 2020 8.50
77880 TAYLOR MCDOWELL 4006 2017 5.50
89058 HUNG DELANEY 4007 2011 2.60
89081 ABEL HOLLOWAY 4006 2006 0.30
88996 JORGE ORTIZ 4007 2007 7.40
89039 STANFORD HENSLEY 4005 2009 9.30
77934 EZEQUIEL ROSS 4007 2010 5.70
89079 CEDRIC ZIMMERMAN 4009 2020 0.20
89038 WILBERT WHEELER 4005 2014 4.40
77948 HIRAM KLEIN 4009 2015 8.50
89006 SCOTTIE PAGE 4008 2014 4.90
89036 MIKEL GRAY 4005 2019 1.50
89035 LINO MCCLAIN 4009 2005 9.40
77883 NIGEL KENNEDY 4009 2019 9.80
77925 JEROME MATTHEWS 4007 2020 7.80
89070 REINALDO MEJIA 4008 2009 4.40
77952 MAURICE LE 4009 2010 9.70
89068 RUSSEL DONOVAN 4005 2020 2.10
89076 DEMETRIUS REID 4008 2010 8.50
77971 LACY MONTOYA 4008 2007 7.20
89082 WILLIAN MORRISON 4009 2006 8.00
89087 VIRGILIO BURTON 4005 2008 2.70
77895 JOHNATHON ABBOTT 4009 2009 5.20
77919 ELDRIDGE BUTLER 4005 2016 0.20
77960 LAWRENCE DUKE 4008 2017 0.60
89027 MARLIN NORMAN 4008 2012 8.90
89080 WINFORD CHAVEZ 4008 2013 4.10
88993 JACK MULLEN 4005 2011 5.40
77933 KRISTOFER TOWNSEND 4006 2017 6.00
89077 CURT BRADFORD 4009 2009 1.30
88991 CHARLIE MOONEY 4006 2013 4.90
88989 GREG RILEY 4006 2011 2.60
89084 REX ROLLINS 4005 2011 4.20
77928 DEMETRIUS SANTIAGO 4006 2017 4.90
77932 EMILIO SPENCER 4006 2015 6.60
77879 ELI HENDRIX 4007 2014 0.00
77924 ALFONSO TUCKER 4006 2007 1.50
77953 DELMAR KEMP 4005 2013 6.20
77961 ALDO LYNCH 4007 2017 8.90
88990 ERROL OBRIEN 4005 2015 0.70
77907 CARLTON REID 4008 2015 0.90
77891 FREDDIE DAVENPORT 4008 2012 7.60
89062 MOSHE BLEVINS 4007 2005 0.90
